,id,customer_id,start_latitude,start_longitude,srid,net_price
0,3190619,21437,51.944996,4.475996,28992,58
1,3190621,170043,51.91362,4.451897,28992,194
2,3190622,146282,51.936062,4.466082,28992,83
3,3190623,186654,51.931694,4.504046,28992,69
4,3190624,182408,51.924194,4.468743,28992,142
5,3190625,58530,51.920574,4.51106,28992,133
6,3190629,164186,51.906094,4.502666,28992,390
7,3190631,186365,51.905102,4.486752,28992,84
8,3190634,23104,51.906834,4.475847,28992,118
9,3190639,92133,51.944965,4.476008,28992,493
10,3190640,56766,51.923218,4.486422,28992,462
11,3190641,25050,51.920879,4.510697,28992,342
12,3190643,54423,51.9585,4.488922,28992,208
13,3190646,30778,51.932556,4.480443,28992,170
14,3190649,18466,51.921333,4.506168,28992,228
15,3190651,164186,51.907005,4.50037,28992,121
16,3190655,164186,51.906136,4.502779,28992,150
17,3190656,54781,51.942467,4.481305,28992,187
18,3190660,58113,51.93462,4.461767,28992,76
19,3190661,61251,51.945477,4.478308,28992,459
20,3190663,122109,51.916954,4.472575,28992,283
21,3190668,61144,51.920856,4.47962,28992,86
22,3190671,55574,51.916985,4.486477,28992,138
23,3190672,59283,51.909023,4.479667,28992,106
24,3190673,180340,51.926311,4.479645,28992,407
25,3190677,93335,51.913475,4.461897,28992,419
26,3190678,164837,51.914215,4.454472,28992,103
27,3190679,56832,51.931793,4.508635,28992,107
28,3190680,55574,51.911018,4.490684,28992,323
29,3190681,182592,51.906761,4.475917,28992,154
30,3190683,29051,51.928486,4.507421,28992,37
31,3190684,56832,51.930424,4.508892,28992,131
32,3190692,55173,51.916706,4.528195,28992,183
33,3190696,127983,51.92115,4.532327,28992,132
34,3190698,17416,51.92215,4.478643,28992,76
35,3190700,51024,51.930492,4.458398,28992,219
36,3190703,22098,51.922913,4.472133,28992,370
37,3190705,45806,51.914661,4.47717,28992,223
38,3190706,82405,51.924179,4.468924,28992,307
39,3190712,54423,51.958469,4.488888,28992,198
40,3190713,104094,51.968666,4.484828,28992,10
41,3190716,19126,51.928581,4.463383,28992,342
42,3190719,164837,51.916473,4.451527,28992,286
43,3190721,184696,51.911003,4.525183,28992,440
44,3190723,62035,51.923756,4.507002,28992,431
45,3190725,33975,51.916988,4.472452,28992,333
46,3190727,56448,51.919334,4.506935,28992,60
47,3190729,164837,51.916458,4.451537,28992,361
48,3190730,39581,51.929192,4.508477,28992,33
49,3190731,22675,51.943039,4.460848,28992,150
50,3190733,111392,51.912262,4.428865,28992,83
51,3190738,57756,51.921028,4.463147,28992,345
52,3190739,71931,51.93985,4.474968,28992,149
53,3190740,61251,51.945507,4.478293,28992,269
54,3190745,57756,51.921021,4.463148,28992,364
55,3190748,44154,51.919891,4.472205,28992,346
56,3190749,23104,51.909061,4.479454,28992,75
57,3190752,191311,51.907921,4.498202,28992,81
58,3190754,44154,51.924187,4.468787,28992,16
59,3190761,150959,51.924114,4.469038,28992,258
60,3190762,71946,51.91193,4.463353,28992,304
61,3190763,1534,51.916321,4.480021,28992,381
62,3190764,59283,51.906815,4.47586,28992,103
